ID,Name,Price,Wholesale_Price,Wholesale_Qty,Category,Image_Path
Camara hfff,Camara gtfg,440,420,100,Camara 📷 ,images/resized_compressed_1772528828452.jpg
Tower hffgh,Tower speaker 🔊 htfgh,5000,4900,6,Tower speaker 🔊 ,images/resized_compressed_1772540294887.jpg
"Tower speaker 10"" htfghh",Tower speaker hyfgh,7000,6900,6,Tower speaker 🔊 ,images/resized_compressed_1772540075773.jpg
🎒  bag hdgdg,Bag with charging,220,215,100,Camara 📷 ,images/resized_compressed_1772526415435.jpg
Soaps dispenser grfg,Soaps dispenser grfuu,135,130,100,Home 🏡 ,images/resized_compressed_1772539298044.jpg
Selfie stick hrfg,Selfie stick ftdg,2750,2700,10,Mobile 📱 ,images/resized_compressed_1772526652748.jpg
Selfie stick r1 hgf,Selfie stick r1 gfg,85,78,100,Mobile 📱 ,images/resized_compressed_1772526197415.jpg
Fan small gfgg,Fan small ,105,100,100,Home 🏡 ,images/IMG-20260302-WA0022.jpg
Counter ftff,Counter small tryy,17,16,100,Home 🏡 ,images/resized_compressed_1772445995667.jpg
E Rickshaw Music System gthh,E rickshaw music system gggh,280,260,100,Car stereo  🚗 ,images/resized_compressed_1772445940490.jpg
E Rickshaw Music System gfhhhh,E Rickshaw  Music System 🎶 gfgg,725,700,20,Car stereo  🚗 ,images/resized_compressed_1772445920089.jpg
E Rickshaw Music System 🎶 htfhh,E Rickshaw Music System 🎶 hthujh,725,700,20,Car stereo  🚗 ,images/resized_compressed_1772445895239.jpg
Fan small  yyegeg,Fan small ydydg,100,100,100,Home 🏡 ,images/resized_compressed_1772445873873.jpg
Mobile frggy,Mobile 📱 yfuuh,730,720,50,Mobile 📱 ,images/resized_compressed_1772445811222.jpg
Mobile gryy,Mobile tryu,530,520,20,Mobile 📱 ,images/resized_compressed_1772445788643.jpg
Soundbar hfvg,Soundbar gffg,340,330,30,Soundbar ,images/1772370445868.png
Soundbar with mic gfgg,Soundbar with mic grfy,440,430,20,Soundbar ,images/1772370298619.png
Led TV main code gtfg,Led TV main lead gtfgg,35,33,100,Wire ,images/resized_compressed_1772437931706.jpg
Fan double gffgh,Double fan small hygh,220,210,100,Car stereo  🚗 ,images/resized_compressed_1772444933993.jpg
Charger 85w gfvh,Charger 85w hgvv,180,160,50,Mobile 📱 ,images/resized_compressed_1772445715708.jpg
Charger 25w hfvg,Charger 25w 1 copi ,145,135,60,Mobile 📱 ,images/resized_compressed_1772445323154.jpg
"Speaker 3"" hggg","Speaker 3"" single box packing ytfg",30,28,200,Speaker 🔊 ,images/resized_compressed_1772445761892.jpg
Woofer gfygy,"Woofer 8"" single box packing ggg",230,220,50,Speaker 🔊 ,images/resized_compressed_1772445738818.jpg
"Speaker 4""","Speaker 4"" single box packing 53 magnetic ",35,33,500,Speaker 🔊 ,images/resized_compressed_1772359469284.jpg
"Speaker 4"" yrff","Speaker 4"" 25 pec master packing 45/9 magnetic for factory ",23,22,1000,Speaker 🔊 ,images/resized_compressed_1772359469284.jpg
5057,Soundbar 5057,350,340,30,Soundbar ,images/1772358960855.png
Soundbar gdgy,Soundbar hfgugc,350,350,30,Soundbar ,images/1772359863215.png
Maharaja r25,Maharaja r25,820,800,6,Tower speaker 🔊 ,images/1772434211495.png
"Tower speaker 8"" woofer 32"" high gtfg","Tower speaker 8"" woofer 32"" high grxf",1550,1500,8,Tower speaker 🔊 ,images/resized_compressed_1772698116169.jpg
"Tower speaker 8"" woofer 32"" high grfgy","Tower 8"" woofer 32"" high hdfhj",1550,1500,8,Tower speaker 🔊 ,images/resized_compressed_1772698083573.jpg
"Tower 8"" woofer 32"" high gdff","Tower speaker 8"" woofer 32"" high gdd",1550,1500,8,Tower speaker 🔊 ,images/resized_compressed_1772698673337.jpg
"Tower speaker 8"" woofer 32"" high htfh","Tower speaker 8"" woofer 32"" high fdfg",1550,1500,8,Tower speaker 🔊 ,images/resized_compressed_1772699196574.jpg
Walkie-talkie gfdfg,Walkie-talkie gtfgyg,910,895,50,Home 🏡 ,images/1772443430326.png
RP-R9,Rp-R9,750,735,12,Tower speaker 🔊 ,images/1772434755373.png
RP-R10,RP-R10,805,790,12,Tower speaker 🔊 ,images/1772435621477.png
RS-R13,RS-R13,685,675,12,Tower speaker 🔊 ,images/IMG-20260227-WA0006.jpg
Party master gfgg,Party master hyggg,725,715,8,Tower speaker 🔊 ,images/1772437345918.png
RS-R15,RS-R15 Disco boy,695,685,8,Tower speaker 🔊 ,images/1772436209107.png
RS-R12,RS-R12,625,615,8,Tower speaker 🔊 ,images/1772436827711.png
Main power cable htgg,Main power lead 14/42 hyfg,18,16,100,Wire ,images/resized_compressed_1772775990387.jpg
Main power cable hgfgh,Main power cable 14/40 bggg,22,20,100,Wire ,images/resized_compressed_1772775990387.jpg
"Speaker 2.5 ""gffg","Speaker for bt sistem 2.5""",37,35,200,Speaker 🔊 ,images/resized_compressed_1772776040809.jpg
Iron cloth power cable ,Iron cloth power cable ,35,33,100,Wire ,images/resized_compressed_1772776021359.jpg
Wacko cable ,"Wacko cable 20/40 length 8""",25,23,100,Wire ,images/resized_compressed_1772778434588.jpg
Wacko cable vffg,"Wacko cable 16/36 length 8""",29,27,100,Wire ,images/resized_compressed_1772778473914.jpg
Laptop main code hgggg,Laptop main Lead vfxf,35,33,100,Wire ,images/resized_compressed_1772437980514.jpg
Computer coad gffhhh,Computer main Lead gfff,35,33,100,Wire ,images/resized_compressed_1772779007064.jpg
"Tower 5"" hffg","Tower 5"" high 32""",760,750,12,Tower speaker 🔊 ,images/resized_compressed_1772780008803.jpg
"Tower speaker 5"" hffrf","Tower speaker 5"" high 32"" hdff",760,750,12,Tower speaker 🔊 ,images/resized_compressed_1772779953865.jpg
"Tower speaker 5"" yrdhh","Tower speaker 5"" high 32""",760,750,12,Tower speaker 🔊 ,images/resized_compressed_1772779917993.jpg
"Tower speaker 8"" woofer 32"" high dj light ","Tower speaker 8"" woofer 32"" high dj light ",1700,1650,8,Tower speaker 🔊 ,images/resized_compressed_1772780487041.jpg
"Tower 8"" woofer 32"" high ","Tower speaker 8"" woofer 32"" high gtdg",1550,1500,8,Tower speaker 🔊 ,images/resized_compressed_1772780446508.jpg
"Tower speaker 8"" woofer 32"" high hgfg","Tower speaker 8"" woofer 32"" high utfg",1550,1500,8,Tower speaker 🔊 ,images/resized_compressed_1772780370535.jpg
"Tower speaker 8"" woofer 32"" high htfg","Tower speaker 8"" woofer 32"" high jtfgh",1550,1500,8,Tower speaker 🔊 ,images/resized_compressed_1772780323089.jpg
2030 amplifier bord 3ic ,2030 amplifier bord 3ic,85,80,50,Amplifier bord ,images/resized_compressed_1772781578816.jpg
2030 amplifier bord 4ic,2030 amplifier bord 4ic,140,135,50,Amplifier bord ,images/resized_compressed_1772781546917.jpg
2050 amplifier bord 4ic,2050 amplifier bord 4ic ,190,185,50,Amplifier bord ,images/resized_compressed_1772781503771.jpg
4440 amplifier bord 2ic with wire & ton ,4440 amplifier bord 2ic with wire ton,220,215,50,Amplifier bord ,images/resized_compressed_1772782274858.jpg
Juicer small fdxg,Juicer small hffgg,230,225,50,Home 🏡 ,images/resized_compressed_1772788280002.jpg
Juicer small ytdgg,Juicer small gdxgh,230,225,60,Mobile 📱 ,images/resized_compressed_1772788322216.jpg
Juicer small htfg,Juicer small gfgg,230,225,60,Home 🏡 ,images/resized_compressed_1772788322216.jpg
Mic gfgg,Mic with wire ,75,65,100,🎤 mic,images/resized_compressed_1772868805350.jpg
Microphone hfcg,Microphone with wire gfdf,2000,190,100,🎤 mic,images/resized_compressed_1772868861871.jpg
Microphone hffgg,Microphone with longer wire ,330,320,40,🎤 mic,images/resized_compressed_1772868841221.jpg
Wire less microphone htfg,Wire less microphone 024  ytfyy,685,675,40,🎤 mic,images/resized_compressed_1772868896724.jpg
Wire less microphone 026,Wire less microphone 026,620,600,20,🎤 mic,images/resized_compressed_1772868931451.jpg
Wire less microphone 023,Wire less microphone 023,650,630,20,🎤 mic,images/resized_compressed_1772868821873.jpg
"Tower 8"" woofer vffg","Tower 8"" woofer 32"" high gtfg",1600,1550,8,Tower speaker 🔊 ,images/resized_compressed_1772880800245.jpg
"Tower 8"" woofer htfghh","Tower 8"" woofer 32"" high heavy duty htfg",1800,1700,8,Tower speaker 🔊 ,images/resized_compressed_1772880765435.jpg
"Tower speaker 8"" woofer htfh","Tower speaker 8"" woofer 32"" high high duty htfg",1800,1700,8,Tower speaker 🔊 ,images/resized_compressed_1772880735174.jpg
2 watt DC white warm white ,2 watt DC white warm white ,8,7,1000,Electronic ,images/resized_compressed_1772948348560.jpg
2 watt DC  Red ,2 watt DC Red ,8,8,1000,Electronic ,images/resized_compressed_1772948348560.jpg
12 led button available,12 led button available,23,22,500,Electronic ,images/resized_compressed_1772948413747.jpg
2 watt Ac white & warm white available,2 watt Ac white & warm white available,12,12,1000,Electronic ,images/resized_compressed_1772948437563.jpg
12 & 24 v pink Green yellow blue red white available,12 & 24 v pink Green yellow blue red white available,4,4,1000,Electronic ,images/resized_compressed_1772948483274.jpg
Koriya mini white available,Koriya mini white available,4,4,1000,Electronic ,images/resized_compressed_1772948510730.jpg
6313 white Red yellow blue available,6313 white Red yellow blue available,5,5,1000,Electronic ,images/resized_compressed_1772948533650.jpg
D koriya white warm white Red available,D koriya white warm white Red available,5,5,1000,Electronic ,images/resized_compressed_1772948383268.jpg
Home theater bgfvv,"Home theater 4"" woofer with 4 satlight speaker ",575,565,20,Soundbar ,images/resized_compressed_1773038414551.jpg
Dth box hgg,Dth box with adopter ,315,310,100,Electronic ,images/resized_compressed_1773038490138.jpg
Hd dth box gfcg,Hd dth box with hdmi cable ,450,440,100,Electronic ,images/resized_compressed_1773038446897.jpg
Dth box gtfg,Dth box sk big ic card with fresh supply ,320,315,100,Electronic ,images/resized_compressed_1773039195828.jpg
Bulb 💡 ,Bulb 💡 led with e14 socket ,14,12,100,Electronic ,images/resized_compressed_1773039581137.jpg
Charger flesh bgfg,Charger flesh 80w gtf,190,180,25,Mobile 📱 ,images/resized_compressed_1773039608813.jpg
Buds hffg,Buds pro jhvb,235,215,100,Mobile 📱 ,images/resized_compressed_1773039782717.jpg
Car charger htfgh,Car charger gtdgy,180,175,100,Mobile 📱 ,images/resized_compressed_1773043783912.jpg
Car fm players gtfg,Car fm players hgcg,300,290,100,Mobile 📱 ,images/resized_compressed_1773043881761.jpg
Flesh charger 44w hgcb,Flesh charger 44w hfvv,160,145,100,Mobile 📱 ,images/resized_compressed_1773044248853.jpg
Bluetooth 09 amplifier bord ,Bluetooth 09 amplifier bord hygg,38,38,1000,Amplifier bord ,images/resized_compressed_1773044843292.jpg
Teaching speaker 🔊 mic,Teaching speaker 🔊 mic,360,350,40,Soundbar ,images/resized_compressed_1773048957081.jpg
Car stereo 839,Car stereo 839,550,530,40,Car stereo  🚗 ,images/resized_compressed_1773049651231.jpg
Car stereo 838,Car stereo 838,540,530,40,Car stereo  🚗 ,images/resized_compressed_1773050269532.jpg
Radio 📻  rahi,Radio 📻 rahi,1000,985,30,Radio 📻 ,images/resized_compressed_1773050660296.jpg
Radio 📻 5078,Radio 📻 5078,260,250,100,Radio 📻 ,images/resized_compressed_1773051075036.jpg
Radio 📻 836,Radio 📻 836,420,410,80,Radio 📻 ,images/resized_compressed_1773051413964.jpg
Radio 📻 5076,Radio 📻 5076,230,225,100,Radio 📻 ,images/resized_compressed_1773051728582.jpg
Radio 📻 5428,📻  Radio 5428,395,385,80,Radio 📻 ,images/resized_compressed_1773052137944.jpg
Megaphone 📣 460,Megaphone 📣 460,305,295,20,🎤 mic,images/resized_compressed_1773068357482.jpg
Megaphone 📣 466,Megaphone 📣 466,315,310,30,🎤 mic,images/resized_compressed_1773068389202.jpg
Led Light 30w,Led Light 30w,250,240,25,Electronic ,images/resized_compressed_1773068920555.jpg
Led Light 40w ,Led Light 40w,275,270,25,Electronic ,images/resized_compressed_1773068920555.jpg
Torches 🔦 higher ,Torches 🔦 2501,200,195,120,Home 🏡 ,images/resized_compressed_1773130734204.jpg
Bluetooth speakers RP-R2,Bluetooth speakers RP-R2,690,680,8,Tower speaker 🔊 ,images/IMG-20260227-WA0005.jpg
Bluetooth speakers RP-R6,Bluetooth speakers RP-R6,630,620,8,Tower speaker 🔊 ,images/resized_compressed_1773204360451.jpg
